age,gender,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
18,Other,7.79,0.34,1.93,3.12,1.72,7.03,6.37,Good,11,43,31,72.57,100.0
18,Other,2.32,2.76,2.2,2.52,2.88,5.87,6.51,Good,2,15,37,13.02,4.88
22,Male,3.69,0.26,1.3,1.65,1.66,8.85,7.21,Good,8,26,34,45.17,23.74
17,Other,5.78,1.94,2.75,2.73,1.31,5.07,12.05,Poor,3,21,77,21.03,12.03
19,Other,6.83,2.0,2.81,2.75,0.68,8.57,9.78,Good,7,37,39,59.17,45.23
25,Male,2.81,3.01,1.12,3.66,2.29,7.69,8.56,Average,8,30,33,36.67,24.67
21,Other,5.36,2.41,1.16,2.21,0.49,7.07,11.83,Poor,5,33,61,37.53,17.6
17,Male,8.02,4.18,1.59,2.8,2.99,7.27,7.22,Good,1,32,46,45.64,22.23
15,Female,6.61,0.71,1.84,4.12,1.19,8.83,7.74,Average,9,29,50,62.02,42.17
17,Female,3.64,0.06,1.4,2.89,1.22,4.99,7.59,Average,9,20,61,28.4,10.8
24,Other,2.12,2.68,3.44,3.39,0.49,6.07,4.93,Poor,7,19,49,24.58,20.2
17,Male,6.19,2.5,0.91,1.17,2.15,6.6,8.12,Good,2,24,36,31.08,18.04
19,Other,5.21,2.38,0.57,4.02,0.89,5.09,8.96,Good,9,33,52,47.93,28.25
24,Other,5.27,1.51,0.66,4.73,1.43,6.54,11.15,Poor,6,29,50,38.4,31.32
18,Other,4.35,0.9,0.47,2.72,0.34,8.04,7.11,Average,6,30,27,49.91,36.74
20,Other,3.37,2.13,3.53,1.72,2.15,6.29,7.81,Average,4,21,42,26.45,20.03
16,Other,5.36,2.33,3.05,3.82,0.65,8.33,5.53,Poor,4,32,58,28.71,15.74
15,Male,2.07,3.62,2.59,4.13,1.6,6.93,6.29,Good,7,27,61,37.47,19.38
19,Other,5.67,1.35,1.08,3.68,2.12,5.62,8.48,Poor,2,14,54,25.38,8.47
17,Other,0.82,2.3,2.0,0.07,0.82,6.43,6.85,Poor,5,33,48,10.53,6.84
22,Male,9.97,4.36,2.55,0.61,1.63,7.85,3.41,Good,10,60,31,91.1,87.09
18,Male,4.4,2.37,2.34,1.22,0.35,4.28,11.32,Poor,2,20,62,20.55,0.0
17,Female,3.76,2.77,1.95,1.48,1.94,7.6,7.64,Good,9,42,29,62.79,42.07
19,Male,3.81,2.55,0.53,5.56,1.6,5.89,4.01,Poor,4,31,42,21.54,13.68
23,Male,8.08,2.13,2.12,2.63,1.8,5.67,3.1,Good,5,39,43,61.37,42.07
17,Female,6.23,1.74,2.27,4.05,1.64,7.27,9.13,Good,4,21,34,43.18,26.1
19,Female,4.31,2.65,1.95,2.87,2.53,6.57,4.41,Average,7,32,30,54.42,39.21
23,Male,7.34,1.3,2.94,4.27,1.39,7.79,9.73,Average,0,25,28,43.52,24.05
16,Female,3.32,4.09,2.69,2.21,2.89,7.7,5.91,Good,4,23,32,33.48,21.46
23,Female,3.13,2.78,2.57,5.33,1.06,5.92,4.8,Good,5,17,42,29.5,22.72
25,Male,4.43,2.14,2.15,4.13,0.68,5.99,7.49,Average,9,31,52,53.27,30.57
19,Male,4.92,2.01,0.13,4.46,0.27,8.23,10.33,Good,5,22,68,37.47,19.01
20,Male,4.23,2.94,2.08,3.28,1.71,6.46,5.51,Poor,1,25,43,20.55,14.12
22,Male,0.55,0.51,1.32,7.16,2.98,8.34,9.16,Average,5,5,19,3.99,4.27
16,Other,2.54,2.85,2.1,5.36,0.04,10.78,9.24,Poor,8,30,40,48.44,29.98
21,Male,2.67,2.41,2.44,2.88,3.62,4.94,3.0,Poor,8,24,39,37.94,32.06
22,Other,4.72,0.36,2.41,1.07,2.85,6.13,11.57,Poor,4,24,50,28.73,14.21
18,Female,5.85,0.66,2.51,2.37,2.4,7.07,5.46,Average,10,36,67,54.28,41.81
16,Other,2.54,3.74,1.2,3.73,0.91,7.64,4.07,Average,10,42,45,49.68,44.4
23,Other,4.0,4.8,1.56,4.48,0.2,7.39,5.95,Average,7,25,51,34.28,32.78
18,Other,4.9,3.99,2.39,1.44,1.21,6.14,4.19,Average,7,46,27,45.28,54.51
21,Other,0.21,2.54,2.77,0.89,2.84,7.23,8.55,Poor,3,12,52,0.39,0.0
16,Other,1.88,1.0,2.49,1.83,1.25,6.16,4.6,Poor,2,14,22,24.74,26.97
17,Male,2.85,3.09,2.18,3.11,2.29,7.56,8.56,Good,2,25,45,21.52,15.82
22,Male,8.1,3.28,0.92,5.63,0.85,7.89,10.61,Average,3,27,30,49.11,26.96
18,Female,6.98,2.59,1.68,4.29,3.1,5.29,6.5,Good,4,30,38,47.21,31.26
19,Female,4.99,2.59,1.73,3.24,5.0,7.94,7.35,Average,3,27,42,28.52,12.26
19,Male,5.05,1.17,1.8,4.95,2.39,7.37,6.1,Average,2,6,41,15.43,5.8
22,Other,4.54,1.43,1.8,3.24,0.25,7.44,7.14,Good,2,22,49,23.08,19.79
19,Female,6.14,1.8,2.41,2.62,0.46,7.23,5.42,Good,6,40,39,63.69,49.44
17,Other,2.01,3.65,3.2,4.1,0.81,6.49,7.41,Average,6,26,48,13.79,6.51
21,Other,7.3,0.96,4.39,5.45,0.99,6.07,7.49,Poor,2,24,31,45.27,34.18
20,Female,3.12,2.84,1.26,1.61,1.37,6.44,6.61,Poor,3,30,63,17.96,17.05
22,Female,4.18,0.11,1.85,6.6,1.48,6.59,12.82,Average,9,21,55,41.11,20.62
21,Female,6.96,0.7,0.52,3.48,1.87,4.99,6.03,Average,3,28,38,42.9,35.85
22,Other,1.42,1.74,2.05,0.16,0.77,6.2,6.38,Average,3,32,65,14.81,7.67
17,Other,2.31,4.02,2.4,0.03,0.29,5.27,10.88,Poor,8,35,67,32.57,4.49
22,Male,3.95,2.46,1.57,3.7,2.46,6.45,5.06,Good,9,42,61,48.93,32.24
22,Female,4.43,1.38,0.58,3.16,3.37,6.24,6.14,Average,1,14,47,23.61,18.3
24,Male,3.51,2.86,0.99,3.0,1.32,6.81,6.16,Good,8,39,49,39.14,36.99
18,Other,6.65,0.56,2.38,3.17,1.13,7.32,4.05,Average,1,32,32,41.38,34.82
18,Male,6.58,3.6,0.98,2.32,1.79,7.2,2.29,Good,2,22,35,29.07,7.83
23,Other,4.86,2.38,3.14,1.91,1.94,8.22,5.52,Average,9,45,27,65.45,50.21
